REPORTE CONTRASTE DE AVALUOS:

Total registros en Excel: 789
Total registros en XML: 789
Registros en ambas fuentes: 789
Registros solo en Excel: 0 ()
Registros solo en XML: 0 ()
Diferencias en avalúo (en registros comunes con diferencia): 38
Número Predial: 254360100000000230077000000000 - Diferencia: 0.0039938922589897174
Número Predial: 254360100000000100004000000000 - Diferencia: 0.0015358104529923366
Número Predial: 254360100000000150072000000000 - Diferencia: 0.0018407913580062996
Número Predial: 254360100000000020014000000000 - Diferencia: 0.001898108740022053
Número Predial: 254360100000000240011000000000 - Diferencia: 0.004391053901997566
Número Predial: 254360100000000070014000000000 - Diferencia: 8.832786701873374e-05
Número Predial: 254360100000000080011000000000 - Diferencia: 0.0001900421860057122
Número Predial: 254360100000000070006000000000 - Diferencia: 0.0015787468599910426
Número Predial: 254360100000000150012000000000 - Diferencia: 0.0010752213320017745
Número Predial: 254360100000000110006000000000 - Diferencia: 0.002128239559993972
Número Predial: 254360100000000140021000000000 - Diferencia: 0.00251596398580034
Número Predial: 254360100000000060034200000000 - Diferencia: 0.004571941566595683
Número Predial: 254360100000000140003000000000 - Diferencia: 0.001905146147976211
Número Predial: 254360100000000130012000000000 - Diferencia: 0.004075740333007616
Número Predial: 254360100000000260013000000000 - Diferencia: 9.36682098995334e-06
Número Predial: 254360100000000040012200000002 - Diferencia: 0.004566470557989533
Número Predial: 254360100000000200022000000000 - Diferencia: 0.0012192188279982474
Número Predial: 254360100000000070009000000000 - Diferencia: 0.002603055677994348
Número Predial: 254360100000000150045200000000 - Diferencia: 0.0024209731959672354
Número Predial: 254360100000000100014000000000 - Diferencia: 0.0026460591840020697
Número Predial: 254360100000000050012000000000 - Diferencia: 0.000171621492995655
Número Predial: 254360100000000200013000000000 - Diferencia: 0.0017330936479993397
Número Predial: 254360100000000140036000000000 - Diferencia: 0.00021810900199170646
Número Predial: 254360100000000150011000000000 - Diferencia: 0.004253499078700429
Número Predial: 254360100000000150043000000000 - Diferencia: 0.0038745693440205287
Número Predial: 254360100000000020048000000000 - Diferencia: 0.0024803205120065286
Número Predial: 254360100000000230069000000000 - Diferencia: 0.0042759477247926725
Número Predial: 254360100000000010047000000000 - Diferencia: 0.0030498310169946308
Número Predial: 254360100000000230018000000000 - Diferencia: 0.0032845502720135755
Número Predial: 254360100000000260009000000000 - Diferencia: 0.0004164540600015698
Número Predial: 254360100000000200015200000000 - Diferencia: 0.001231666756012828
Número Predial: 254360100000000080004200000000 - Diferencia: 0.0006643941342048265
Número Predial: 254360100000000090016000000000 - Diferencia: 0.0006068615400067756
Número Predial: 254360100000000150018200000000 - Diferencia: 0.004641321981921465
Número Predial: 254360100000000260002000000000 - Diferencia: 0.0005289210220098539
Número Predial: 254360100000000200029000000000 - Diferencia: 0.00014838828803931392
Número Predial: 254360100000000150001200000000 - Diferencia: 0.002371058066017895
Número Predial: 254360100000000040010000000000 - Diferencia: 0.0037354216329958945
Número Predial: 254360100000000110013000000000 - Diferencia: 0.00022472100198456246
Número Predial: 254360100000000230044000000000 - Diferencia: 0.0012698246286078074
Número Predial: 254360100000000060043200000000 - Diferencia: 0.0037338885088900042
Número Predial: 254360100000000200004000000000 - Diferencia: 0.003322830792797049
Número Predial: 254360100000000020006000000000 - Diferencia: 0.00021978589799687143
Número Predial: 254360100000000060062000000000 - Diferencia: 0.0037827978329971756
Número Predial: 254360100000000150042000000000 - Diferencia: 0.0048322097483008974
Número Predial: 254360100000000100019000000000 - Diferencia: 0.0024642845709053063
Número Predial: 254360100000000260003000000000 - Diferencia: 0.0010418639089948556
Número Predial: 254360100000000010007200000000 - Diferencia: 0.0010318214469862141
Número Predial: 254360100000000260021000000000 - Diferencia: 0.0006239011700017727
Número Predial: 254360100000000150033000000000 - Diferencia: 0.004400000695099493
Número Predial: 254360100000000160012000000000 - Diferencia: 0.0014054981519961984
Número Predial: 254360100000000200009000000000 - Diferencia: 0.0021605607439880714
Número Predial: 254360100000000050002200000000 - Diferencia: 0.0036091474469017726
Número Predial: 254360100000000060051200000002 - Diferencia: 0.0006726848896008164
Número Predial: 254360100000000070018000000000 - Diferencia: 0.004809783071202389
Número Predial: 254360100000000040012200000001 - Diferencia: 0.0003340865750089961
Número Predial: 254360100000000060033000000000 - Diferencia: 0.003637317607001478
Número Predial: 254360100000000200034200000002 - Diferencia: 0.0031372986589985885
Número Predial: 254360100000000140033000000000 - Diferencia: 3.2437885010949685e-05
Número Predial: 254360100000000010023000000000 - Diferencia: 0.0006966497739995248
Número Predial: 254360100000000140084000000000 - Diferencia: 0.0003108769440132164
Número Predial: 254360100000000190014000000000 - Diferencia: 0.0021783211919910173
Número Predial: 254360100000000170003000000000 - Diferencia: 0.0029061426200200913
Número Predial: 254360100000000080013000000000 - Diferencia: 0.0021883607619770373
Número Predial: 254360100000000120001300000000 - Diferencia: 0.004901070908033489
Número Predial: 254360100000000200018000000000 - Diferencia: 0.00321366297998793
Número Predial: 254360100000000020057000000000 - Diferencia: 0.004693883323994896
Número Predial: 254360100000000230051000000000 - Diferencia: 0.004189220982993902
Número Predial: 254360100000000090021000000000 - Diferencia: 0.004741405963500256
Número Predial: 254360100000000140005000000000 - Diferencia: 0.002211191119840805
Número Predial: 254360100000000100022000000000 - Diferencia: 0.003888228882999556
Número Predial: 254360100000000060106000000000 - Diferencia: 0.002776622941013329
Número Predial: 254360100000000060050200000002 - Diferencia: 4.921345976072189e-06
Número Predial: 254360100000000070012000000000 - Diferencia: 0.002242080825993753
Número Predial: 254360100000000160010200000000 - Diferencia: 0.00036703176529329085
Número Predial: 254360100000000150004000000000 - Diferencia: 0.004635998830000432
Número Predial: 254360100000000060022000000000 - Diferencia: 0.004577472820017192
Número Predial: 254360100000000030002000000000 - Diferencia: 0.0028987848820065665
Número Predial: 254360100000000090022000000000 - Diferencia: 0.0019086863890152017
Número Predial: 254360100000000150019000000000 - Diferencia: 0.0018653450870260713
Número Predial: 254360100000000140015200000002 - Diferencia: 0.004344602887982774
Número Predial: 254360100000000020072000000000 - Diferencia: 0.0008750517202997798
Número Predial: 254360100000000110023000000000 - Diferencia: 0.0016447391980136672
Número Predial: 254360100000000150025200000000 - Diferencia: 0.002599065745997109
Número Predial: 254360100000000260019000000000 - Diferencia: 0.0006701593499940373
Número Predial: 254360100000000090020000000000 - Diferencia: 0.0022647375499786904
Número Predial: 254360100000000140010000000000 - Diferencia: 0.0014841662049889237
Número Predial: 254360100000000200010000000000 - Diferencia: 0.0036524504090209575
Número Predial: 254360100000000010001200000000 - Diferencia: 0.001000000549993274
Número Predial: 254360100000000150048000000000 - Diferencia: 0.000718013649986915
Número Predial: 254360100000000230031000000000 - Diferencia: 0.001962365419004186
Número Predial: 254360100000000090004000000000 - Diferencia: 0.0026651338519627643
Número Predial: 254360100000000140008000000000 - Diferencia: 0.0046313441200140915
Número Predial: 254360100000000130005000000000 - Diferencia: 0.001859738187093285
Número Predial: 254360100000000160008000000000 - Diferencia: 0.0008003726967995561
Número Predial: 254360100000000150057000000000 - Diferencia: 0.0027615379129883877
Número Predial: 254360100000000070015000000000 - Diferencia: 0.0030324727100037308
Número Predial: 254360100000000020018000000000 - Diferencia: 0.0017505194485067932
Número Predial: 254360100000000200014000000000 - Diferencia: 0.001031403423013444
Número Predial: 254360100000000150054000000000 - Diferencia: 0.003773424410695725
Número Predial: 254360100000000020001000000000 - Diferencia: 0.002692086863021359
Número Predial: 254360100000000110019200000000 - Diferencia: 0.004938347012796385
Número Predial: 254360100000000230064000000000 - Diferencia: 0.001739768090999405
Número Predial: 254360100000000140029000000000 - Diferencia: 0.0039255686299952686
Número Predial: 254360100000000190010000000000 - Diferencia: 0.002391413021699762
Número Predial: 254360100000000200003000000000 - Diferencia: 0.0014640119819659958
Número Predial: 254360100000000060038000000000 - Diferencia: 0.0032765464409862943
Número Predial: 254360100000000060048000000000 - Diferencia: 0.0023458896269801244
Número Predial: 254360100000000210801800000007 - Diferencia: 0.0014105273239977123
Número Predial: 254360100000000130002000000000 - Diferencia: 0.0035357795680113213
Número Predial: 254360100000000100008200000000 - Diferencia: 0.00126955485200142
Número Predial: 254360100000000040011200000002 - Diferencia: 0.004140684046006982
Número Predial: 254360100000000190023000000000 - Diferencia: 0.0026778370980196087
Número Predial: 254360100000000100021000000000 - Diferencia: 0.0009659827409791433
Número Predial: 254360100000000140041000000000 - Diferencia: 0.002408435872002457
Número Predial: 254360100000000020015200000000 - Diferencia: 0.0021499196909644525
Número Predial: 254360100000000020017200000000 - Diferencia: 0.0023092722200033222
Número Predial: 254360100000000090019000000000 - Diferencia: 0.002998100461510944
Número Predial: 254360100000000150026000000000 - Diferencia: 0.002632501019597555
Número Predial: 254360100000000060041200000000 - Diferencia: 0.004461954465000417
Número Predial: 254360100000000020069000000000 - Diferencia: 0.003869097777993602
Número Predial: 254360100000000060044000000000 - Diferencia: 0.0017417248989062273
Número Predial: 254360100000000150008200000000 - Diferencia: 0.0005828319430065676
Número Predial: 254360100000000190022000000000 - Diferencia: 0.004259624474002521
Número Predial: 254360100000000190021000000000 - Diferencia: 0.0007259881759864584
